service,method,path
core,GET,/health
core,GET,/api/v1/health
core,GET,/api/v1/config
core,GET,/api/v1/secrets/status
core,POST,/api/v1/secrets/reload
core,GET,/api/v1/roadmap
core,GET,/metrics
core,GET,/api/v1/metrics
core,GET,/api/v1/governance/unified
core,GET,/api/v1/predictions
core,GET,/api/v1/compliance/predict
core,GET,/api/v1/predictions/violations
core,GET,/api/v1/predictions/violations/:resource_id
core,GET,/api/v1/predictions/risk-score/:resource_id
core,POST,/api/v1/predictions/remediate/:prediction_id
core,POST,/api/v1/conversation
core,POST,/api/v1/nlp/query
core,POST,/api/v1/conversation/chat
core,POST,/api/v1/conversation/translate-policy
core,GET,/api/v1/conversation/suggestions
core,GET,/api/v1/conversation/history
core,GET,/api/v1/correlations
core,POST,/api/v1/correlations/analyze
core,POST,/api/v1/correlations/what-if
core,GET,/api/v1/correlations/insights
core,GET,/api/v1/correlations/graph
core,GET,/api/v1/analysis/cross-domain
core,GET,/api/v1/ml/predict/:resource_id
core,GET,/api/v1/ml/metrics
core,POST,/api/v1/ml/ab-test
core,GET,/api/v1/ml/ab-test/:test_id
core,GET,/api/v1/ml/feature-importance
core,GET,/api/v1/ml/anomalies
core,POST,/api/v1/ml/feedback
core,GET,/api/v1/ml/cost-prediction
core,POST,/api/v1/ml/retrain
core,GET,/api/v1/recommendations
core,GET,/api/v1/policies
core,GET,/api/v1/compliance
core,GET,/api/v1/resources
core,GET,/api/v2/resources
core,GET,/api/v2/resources/category/:category
core,GET,/api/v2/resources/:id
core,POST,/api/v2/resources/:id/actions
core,GET,/api/v2/resources/insights
core,GET,/api/v2/resources/health
core,GET,/api/v1/policies/deep
core,GET,/api/v1/rbac/deep
core,GET,/api/v1/costs/deep
core,GET,/api/v1/network/deep
core,GET,/api/v1/resources/deep
core,POST,/api/v1/remediate
core,POST,/api/v1/exception
core,POST,/api/v1/actions
core,GET,/api/v1/actions/:id
core,GET,/api/v1/actions/:id/events
core,GET,/api/v1/actions/:id/preflight
core,POST,/api/v1/approvals
core,GET,/api/v1/approvals
core,POST,/api/v1/approvals/:id
core,POST,/api/v1/policies/generate
core,GET,/api/v1/policies/export
core,GET,/api/v1/evidence
core,GET,/api/v1/frameworks
core,GET,/api/v1/frameworks/:id
core,POST,/api/v1/voice/realtime/sdp
core,GET,/api/v1/policies/drift
core,GET,/api/v1/events
core,GET,/api/v1/exceptions
core,POST,/api/v1/exceptions/expire
core,POST,/api/v1/remediation/approvals
core,GET,/api/v1/remediation/approvals/:id
core,POST,/api/v1/remediation/approvals/:id/approve
core,GET,/api/v1/remediation/approvals/pending
core,POST,/api/v1/remediation/bulk
core,GET,/api/v1/remediation/bulk/:id/stream
core,POST,/api/v1/remediation/rollback/:token
core,GET,/api/v1/remediation/rollback/:token/status
core,GET,/api/v1/remediation/:id/status
core,GET,/api/v1/remediation
gateway,GET,/
gateway,GET,/health
gateway,GET,/api/v1/health
gateway,GET,/metrics
gateway,GET,/api/v1/metrics
gateway,GET,/api/v1/dashboard
gateway,GET,/api/v1/compliance
gateway,GET,/api/v1/resources
gateway,GET,/api/v1/policies
gateway,POST,/api/v1/chat
gateway,GET,/api/v1/predictions
gateway,POST,/api/v1/policies/analyze-document
gateway,POST,/api/v1/policies/generate
gateway,GET,/api/v1/recommendations
gateway,GET,/api/v1/correlations
gateway,POST,/api/v1/actions
gateway,GET,/api/v1/actions/{action_id}
gateway,GET,/api/v1/actions/{action_id}/events
gateway,GET,/api/v1/policies/deep
gateway,GET,/api/v1/rbac/deep
gateway,GET,/api/v1/costs/deep
gateway,GET,/api/v1/network/deep
gateway,GET,/api/v1/resources/deep
gateway,POST,/api/v1/remediate
gateway,GET,/api/v1/providers
gateway,GET,/api/v1/multi-cloud/resources
gateway,GET,/api/v1/multi-cloud/policies
gateway,GET,/api/v1/multi-cloud/costs
gateway,GET,/api/v1/multi-cloud/compliance
gateway,GET,/api/v1/multi-cloud/security
gateway,POST,/api/v1/multi-cloud/governance-action
gateway,POST,/api/v1/exception
gateway,GET,/api/v1/finops/costs
gateway,GET,/api/v1/finops/budgets
gateway,GET,/api/v1/finops/recommendations
gateway,GET,/api/v1/finops/anomalies
gateway,GET,/api/v1/finops/summary
gateway,POST,/api/v1/learning/errors
gateway,POST,/api/v1/learning/predict
gateway,GET,/api/v1/learning/stats
gateway,POST,/api/v1/learning/feedback
gateway,POST,/api/v1/multimodal/analyze
gateway,GET,/api/v1/learning/suggest-fix
